Date,Unnamed: 0_sum,sentiment_sum
2018-08-04,194961,-2.871666666666666
2018-08-05,97227,-0.5969047619047618
2018-08-06,74675,0.41333333333333344
2018-08-07,29842,0.6000000000000001
2018-08-08,74535,6.025
2018-08-09,44673,-2.2055555555555557
2018-08-10,59508,1.1273809523809524
2018-08-11,66870,0.2142857142857144
2018-08-12,37115,-0.9333333333333333
2018-08-13,103789,0.532142857142857
2018-08-14,125766,-7.555238095238096
2018-08-15,125477,3.355833333333334
2018-08-16,125188,0.9100000000000003
2018-08-17,132237,-7.359999999999999
2018-08-18,109950,-4.416666666666667
2018-08-19,43917,-2.8291666666666666
2018-08-20,65808,-3.0675
2018-08-21,94913,2.4166666666666665
2018-08-22,94744,5.139285714285714
2018-08-23,94575,-1.7666666666666668
2018-08-24,94406,0.5
2018-08-25,94237,2.283333333333333
2018-08-26,57908,-0.17999999999999994
2018-08-27,72295,5.490714285714286
2018-08-28,72195,-1.428571428571429
2018-08-29,172860,0.836904761904762
2018-08-30,129267,1.842499999999999
2018-08-31,28682,-0.9916666666666665
2018-09-01,121720,-2.666666666666667
2018-09-02,71465,0.6333333333333334
2018-09-03,107010,2.840714285714286
2018-09-04,85446,-0.016666666666666607
2018-09-05,106605,-3.8773809523809524
2018-09-06,56764,2.1499999999999995
2018-09-07,63783,3.3500000000000005
2018-09-08,63702,0.8099999999999998
2018-09-09,127161,7.761666666666666
2018-09-10,162012,-0.5958333333333333
2018-09-11,77297,1.4333333333333338
2018-09-12,91195,-2.405
2018-09-13,119000,-4.666666666666666
2018-09-14,209295,-3.2666666666666666
2018-09-15,104310,-0.34761904761904766
2018-09-16,62478,-1.62
2018-09-17,207675,5.616666666666667
2018-09-18,82818,0.35833333333333317
2018-09-19,62019,3.675
2018-09-20,96313,1.46
2018-09-21,171500,4.671904761904761
2018-09-22,68425,2.8999999999999995
2018-09-23,20508,2.25
2018-09-24,68295,3.2
2018-09-25,102255,7.57
2018-09-26,95235,0.043333333333333446
2018-09-27,6795,-0.6799999999999999
2018-09-29,20379,1.1714285714285715
2018-09-30,40731,1.3133333333333335
2018-10-01,33915,2.8600000000000003
2018-10-02,74525,7.699999999999999
2018-10-03,108184,4.825
2018-10-04,80970,4.4228571428571435
2018-10-05,67365,3.45
2018-10-06,40371,4.383333333333334
2018-10-07,33615,2.3166666666666664
2018-10-08,53732,2.4833333333333334
2018-10-09,120663,5.7
2018-10-10,153709,3.583333333333334
2018-10-11,73326,2.7333333333333334
2018-10-12,79854,7.583333333333334
2018-10-13,73073,5.984999999999999
2018-10-14,72952,6.65
2018-10-15,59598,1.3333333333333333
2018-10-16,125552,2.01
2018-10-17,151501,4.659999999999999
2018-10-18,91959,2.5600000000000005
2018-10-19,72116,5.583333333333333
2018-10-20,78534,6.144166666666667
2018-10-21,39213,-1.0166666666666666
2018-10-22,91357,1.7666666666666662
2018-10-23,97665,0.6699999999999998
2018-10-24,45500,2.916666666666667
2018-10-25,116775,2.2933333333333334
2018-10-26,71203,-2.5154761904761904
2018-10-27,103352,1.1033333333333335
2018-10-28,25798,2.216666666666667
2018-10-29,45108,-0.4899999999999999
2018-10-30,154284,5.336309523809525
2018-10-31,96135,1.315277777777778
2018-11-01,76746,6.2175
2018-11-02,63845,4.416666666666666
2018-11-03,133749,5.748333333333333
2018-11-04,196633,9.44166666666667
2018-11-05,107423,5.105952380952381
2018-11-06,220255,8.272222222222219
2018-11-07,87759,4.723333333333333
2018-11-08,12521,-0.25416666666666665
2018-11-09,75042,-2.7299999999999995
2018-11-10,56187,1.2800000000000002
2018-11-11,37413,2.258095238095238
2018-11-12,56052,-1.5633333333333335
2018-11-13,87031,0.8416666666666666
2018-11-14,31035,1.2066666666666666
2018-11-15,55800,-0.4766666666666669
2018-11-16,24774,-0.7
2018-11-17,68046,-1.9714285714285713
2018-11-18,49412,2.79
2018-11-19,43183,2.9250000000000003
2018-11-20,18492,1.475
2018-11-21,80028,4.449166666666667
2018-11-22,61445,0.48750000000000027
2018-11-23,30685,1.7557142857142858
2018-11-24,18399,-1.5
2018-11-25,55143,0.0666666666666666
2018-11-26,61175,-1.044047619047619
2018-11-27,54972,-0.6433333333333333
2018-11-28,91440,1.781666666666667
2018-11-29,85141,3.7333333333333334
2018-11-30,66759,3.4466666666666663
2018-12-01,60585,4.07
2018-12-02,6053,0.75
2018-12-03,72558,1.2733333333333332
2018-12-04,60355,1.635
2018-12-05,54234,0.23333333333333317
2018-12-06,24078,0.6500000000000001
2018-12-07,138138,-0.6577380952380957
2018-12-08,77844,3.133333333333333
2018-12-09,17940,-0.86
2018-12-10,17931,-0.5466666666666666
2018-12-11,77597,1.8233333333333328
2018-12-12,17883,0.7749999999999999
2018-12-13,77389,-1.6328571428571435
2018-12-14,41601,2.633333333333333
2018-12-15,47484,1.3190476190476192
2018-12-16,65186,-5.287619047619048
2018-12-17,35505,3.1133333333333337
2018-12-18,64999,-1.858333333333333
2018-12-19,76661,0.42999999999999994
2018-12-20,99994,1.594444444444444
2018-12-21,117270,3.6011904761904763
2018-12-22,58485,3.0349999999999997
2018-12-23,64218,-1.7816666666666665
2018-12-24,104823,-1.8499999999999999
2018-12-25,17439,2.3166666666666664
2018-12-26,5811,0.7
2018-12-27,69654,-5.069047619047619
2018-12-28,28980,0.6799999999999999
2018-12-29,40530,-1.8066666666666666
2018-12-30,28920,0.3533333333333333
2018-12-31,69306,0.11428571428571399
2019-01-01,115190,3.895714285714286
2019-01-02,17244,0.82
2019-01-03,51678,1.525
2019-01-04,40138,2.716666666666667
2019-01-05,68694,-1.2823809523809522
2019-01-06,68550,-1.7866666666666666
2019-01-07,34221,-0.6166666666666665
2019-01-08,28490,1.916666666666667
2019-01-09,39844,-0.12976190476190497
2019-01-10,96560,0.3833333333333335
2019-01-11,79303,-0.05833333333333324
2019-01-12,73463,-2.5733333333333333
2019-01-13,50760,0.6926190476190477
2019-01-14,140575,-2.4236111111111107
2019-01-15,106419,0.8499999999999999
2019-01-16,11181,-0.625
2019-01-17,16764,-0.7333333333333332
2019-01-18,83685,3.2366666666666672
2019-01-19,138975,-4.941666666666667
2019-01-20,138350,4.984999999999999
2019-01-21,137725,6.658809523809524
2019-01-22,71370,-3.291666666666666
2019-01-23,43836,-2.5583333333333336
2019-01-24,54705,0.8633333333333334
2019-01-25,21854,0.5366666666666668
2019-01-26,54565,-0.6766666666666667
2019-01-27,65346,-1.9166666666666665
2019-01-28,38052,-0.11333333333333329
2019-01-29,16293,-0.7666666666666666
2019-01-30,65082,-1.4183333333333328
2019-01-31,91953,3.125
