"","BZUN.Adjusted","BABA.Adjusted","MOMO.Adjusted","PDD.Adjusted","combined","Date"
"178","0.204108638934145","0.518880709866983","0.350123394305804",NA,"0.35770424770231","2017-09-15"
"179","0.356183129827563","0.615298387150394","0.397205166248735",NA,"0.456228894408897","2017-09-18"
"180","0.232816456063165","0.617919480369084","0.280878588471895",NA,"0.377204841634714","2017-09-19"
"181","0.241235071954201","0.555834686263983","0.129128705882225",NA,"0.308732821366803","2017-09-20"
"182","0.211971098822505","0.53931156414678","0.182667691821096",NA,"0.311316784930127","2017-09-21"
"183","0.206076547825116","0.561429013450239","0.115657478270692",NA,"0.294387679848683","2017-09-22"
"184","0.0937296608828962","0.303582963992128","-0.0859963970105919",NA,"0.103772075954811","2017-09-25"
"185","0.0350568554342168","0.223532988060975","-0.268234741306239",NA,"-0.00321496593701574","2017-09-26"
"186","0.0103412900679257","0.346681492452603","-0.240893040866689",NA,"0.0387099138846131","2017-09-27"
"187","-0.093285713138731","0.32363721458248","-0.277919036108177",NA,"-0.0158558448881428","2017-09-28"
"188","-0.143372686137364","0.399150345668446","-0.458707992063461",NA,"-0.0676434441774596","2017-09-29"
"189","0.0878902692535973","0.426396909687037","-0.364248430267028",NA,"0.0500129162245355","2017-10-02"
"190","0.0927002372498522","0.573774119209033","-0.303831186592001",NA,"0.120881056622295","2017-10-03"
"191","-0.0441926822925954","0.578176324462355","-0.38729172298947",NA,"0.0488973063934299","2017-10-04"
"192","-0.0254006332391475","0.583453545033671","-0.447015401713336",NA,"0.0370125033603956","2017-10-05"
"193","-0.0391192888681164","0.592530002360357","-0.354403489412569",NA,"0.0663357413598903","2017-10-06"
"194","-0.0785287215252127","0.676398872964971","-0.437014282945147",NA,"0.0536186228315371","2017-10-09"
"195","-0.0543707059184214","0.70596846517611","-0.341305982756421",NA,"0.103430592167089","2017-10-10"
"196","-0.0587453753856204","0.750722366090866","-0.223277172114154",NA,"0.156233272863697","2017-10-11"
"197","-0.0347787842997061","0.631293886636684","-0.326609861267821",NA,"0.0899684136897189","2017-10-12"
"198","0.102975801469156","0.570543648879018","-0.215288395066286",NA,"0.152743685093963","2017-10-13"
"199","0.13692321845159","0.603050818884835","0.0264814616629296",NA,"0.255485166333118","2017-10-16"
"200","0.0357595446566197","0.477778993302289","-0.132929678725092",NA,"0.126869619744605","2017-10-17"
"201","0.0103412900679257","0.604510458499053","-0.0348512720901844",NA,"0.193333492158932","2017-10-18"
"202","-0.074118897965473","0.555245350653556","-0.218482672247185",NA,"0.0875479268136326","2017-10-19"
"203","-0.0609359422139968","0.537242736570922","-0.36753413438897",NA,"0.0362575533226519","2017-10-20"
"204","-0.10664259738576","0.411883057115568","-0.418727743988686",NA,"-0.0378290947529592","2017-10-23"
"205","-0.222404818288995","0.429113691344426","-0.475456867184059",NA,"-0.0895826647095428","2017-10-24"
"206","-0.324272868238839","0.32302118857748","-0.765145102956072",NA,"-0.255465594205811","2017-10-25"
"207","-0.347946924148313","0.326100164093911","-0.816811637867412",NA,"-0.279552799307271","2017-10-26"
"208","-0.238832659331799","0.502537983953093","-0.788242966265988",NA,"-0.174845880548232","2017-10-27"
"209","-0.259324153295838","0.66169581032891","-0.782903900376696",NA,"-0.126844081114541","2017-10-30"
"210","-0.249057275717369","0.756396053089748","-0.606246748396252",NA,"-0.0329693236746245","2017-10-31"
"211","-0.236479216099734","0.790028708265054","-0.625200085813253",NA,"-0.0238835312159777","2017-11-01"
"212","-0.203762790013263","0.754127252663755","-0.639027738351633",NA,"-0.0295544252337137","2017-11-02"
"213","-0.262491884584695","0.708544656038474","-0.722767911637457",NA,"-0.0922383800612256","2017-11-03"
