Date,Close,Open,Day High,Day Low,delta,range
2017-11-28,58.417,58.4675,58.575,58.2145,-0.050499999999999545,0.3605000000000018
2017-11-29,58.6383,58.4169,58.7837,58.25,0.2214000000000027,0.5337000000000032
2017-11-30,58.4936,58.641000000000005,58.74,58.36,-0.14740000000000464,0.38000000000000256
2017-12-01,58.8891,58.4937,59.1505,58.431999999999995,0.3954000000000022,0.7185000000000059
2017-12-02,58.8891,58.8891,58.8891,58.8891,0.0,0.0
2017-12-04,58.7564,58.9012,59.1142,58.6495,-0.1448000000000036,0.46469999999999345
2017-12-05,58.7923,58.8008,58.872,58.5098,-0.008500000000005059,0.3622000000000014
2017-12-06,59.1963,58.7922,59.25,58.63,0.4040999999999997,0.6199999999999974
2017-12-07,59.1789,59.1964,59.385,59.07,-0.017499999999998295,0.3149999999999977
2017-12-08,59.0638,59.178999999999995,59.3888,58.982,-0.11519999999999442,0.40680000000000405
2017-12-11,58.9249,59.1344,59.3197,58.872,-0.20949999999999847,0.44769999999999754
2017-12-12,59.2376,58.925,59.3,58.74,0.3126000000000033,0.5599999999999952
2017-12-13,58.599,59.1538,59.2652,58.476000000000006,-0.5548000000000002,0.7891999999999939
2017-12-14,58.8576,58.6055,58.9242,58.278,0.25209999999999866,0.6462000000000003
2017-12-15,58.8369,58.8633,59.045,58.652,-0.02640000000000242,0.3930000000000007
2017-12-18,58.6749,58.56399999999999,58.8444,58.5419,0.11090000000000799,0.302500000000002
2017-12-19,58.7766,58.675,58.8738,58.498000000000005,0.1016000000000048,0.37579999999999814
2017-12-20,58.7366,58.7732,58.8151,58.56399999999999,-0.036599999999999966,0.2511000000000081
2017-12-21,58.4645,58.7367,58.7571,58.42,-0.272199999999998,0.3370999999999995
2017-12-22,58.3177,58.4644,58.6291,58.123999999999995,-0.1466999999999956,0.5051000000000059
2017-12-25,58.0178,58.3683,58.3938,57.6883,-0.3504999999999967,0.7055000000000007
2017-12-26,57.6654,58.0085,58.2766,57.508,-0.34309999999999974,0.7685999999999993
2017-12-27,57.7718,57.6655,57.9325,57.354,0.1062999999999974,0.5784999999999982
2017-12-28,57.5856,57.7717,57.783,57.332,-0.18610000000000326,0.4510000000000005
2017-12-29,57.6783,57.5855,57.9275,57.442,0.09279999999999688,0.4855000000000018
2018-01-01,57.7672,57.7672,57.7672,57.7672,0.0,0.0
2018-01-02,57.4987,57.6717,57.817,57.2167,-0.17300000000000182,0.6002999999999972
2018-01-03,57.1467,57.4988,57.625,57.1049,-0.3521000000000001,0.5200999999999993
2018-01-04,56.9687,57.178000000000004,57.29,56.7895,-0.20930000000000604,0.5005000000000024
2018-01-05,56.8705,56.95399999999999,57.1311,56.782,-0.08349999999999369,0.34910000000000707
2018-01-08,57.1275,57.0241,57.18,56.672,0.1034000000000006,0.5080000000000027
2018-01-09,56.9162,57.1276,57.185,56.738,-0.2113999999999976,0.44700000000000273
2018-01-10,57.0534,56.9163,57.1033,56.76,0.13710000000000377,0.3432999999999993
2018-01-11,56.5452,57.0536,57.0774,56.364,-0.5084000000000017,0.7134
2018-01-12,56.6224,56.5451,56.75,56.408,0.07730000000000103,0.34199999999999875
2018-01-15,56.3405,56.5838,56.718999999999994,56.2669,-0.24329999999999785,0.4520999999999944
2018-01-16,56.5142,56.3404,56.586999999999996,56.188,0.17379999999999995,0.3989999999999938
2018-01-17,56.8664,56.5143,56.9583,56.32,0.3521000000000001,0.638300000000001
2018-01-18,56.5308,56.8695,56.913999999999994,56.41,-0.3387000000000029,0.5039999999999978
2018-01-19,56.7449,56.5307,56.7617,56.32,0.21419999999999817,0.4416999999999973
2018-01-22,56.4934,56.6276,56.748999999999995,56.4475,-0.13419999999999987,0.3014999999999972
2018-01-23,56.3774,56.4973,56.59,56.3258,-0.11990000000000123,0.26420000000000243
2018-01-24,56.1593,56.3725,56.473,56.056000000000004,-0.2132000000000005,0.4169999999999945
2018-01-25,55.9103,56.034,56.266999999999996,55.5872,-0.12369999999999948,0.6797999999999931
2018-01-26,56.2456,55.9127,56.2815,55.7337,0.3329000000000022,0.5478000000000023
2018-01-29,56.3106,56.2345,56.519,56.1,0.07610000000000383,0.41899999999999693
2018-01-30,56.318999999999996,56.3122,56.4407,55.8785,0.006799999999998363,0.5621999999999971
2018-01-31,56.2341,56.3202,56.4686,56.056000000000004,-0.08610000000000184,0.41259999999999764
2018-02-01,55.9802,56.233999999999995,56.43,55.81399999999999,-0.25379999999999114,0.6160000000000068
2018-02-02,56.5429,55.9871,56.563,55.836000000000006,0.555800000000005,0.7269999999999968
2018-02-05,57.2994,56.4556,57.368,56.364,0.8438000000000017,1.0040000000000049
2018-02-06,56.8622,57.2995,57.6496,56.738,-0.43730000000000047,0.9116
2018-02-07,57.8604,56.8619,58.1635,56.7505,0.9984999999999999,1.4129999999999967
2018-02-08,58.4118,57.8562,58.507,57.52,0.5555999999999983,0.9869999999999948
2018-02-09,58.36600000000001,58.4141,58.7676,57.9106,-0.04809999999999093,0.8569999999999993
2018-02-12,57.7881,58.3305,58.3567,57.6586,-0.5424000000000007,0.6980999999999966
2018-02-13,57.6572,57.772,57.97,57.574,-0.11479999999999535,0.3960000000000008
2018-02-14,56.7314,57.6573,57.7802,56.7015,-0.9258999999999986,1.0786999999999978
2018-02-15,56.492,56.7315,56.8796,56.335,-0.2394999999999996,0.5446000000000026
2018-02-16,56.4128,56.4886,56.5042,56.078,-0.07580000000000098,0.42619999999999436
2018-02-19,56.4029,56.48,56.5502,56.2437,-0.0770999999999944,0.3064999999999998
2018-02-20,56.5504,56.4132,56.7688,56.254,0.1372,0.514800000000001
2018-02-21,56.7497,56.5559,56.8534,56.408,0.19379999999999598,0.44539999999999935
2018-02-22,56.5147,56.7498,56.8662,56.3598,-0.23510000000000275,0.5063999999999993
2018-02-23,56.1662,56.5151,56.6,55.968,-0.3488999999999933,0.6319999999999979
2018-02-26,55.6577,56.1603,56.2094,55.556000000000004,-0.502600000000001,0.6533999999999978
2018-02-27,56.2311,55.6576,56.356,55.418,0.5734999999999957,0.9380000000000024
2018-02-28,56.3557,56.2666,56.467,55.9635,0.08910000000000196,0.5034999999999954
2018-03-01,56.8248,56.3559,57.0559,56.254,0.468900000000005,0.8019000000000034
2018-03-02,56.8039,56.8155,57.3811,56.575,-0.011600000000001387,0.8061000000000007
2018-03-05,56.4431,56.979,57.36600000000001,56.298,-0.535899999999998,1.068000000000005
2018-03-06,56.6872,56.4429,56.7578,56.2618,0.24429999999999552,0.4960000000000022
2018-03-07,56.8377,56.687,57.0638,56.606,0.1507000000000005,0.4577999999999989
2018-03-08,57.1042,56.8378,57.1675,56.693999999999996,0.2663999999999973,0.47350000000000136
2018-03-09,56.6614,57.1047,57.1301,56.54,-0.4433000000000007,0.5900999999999996
2018-03-12,56.9001,56.6879,56.9898,56.4864,0.21220000000000283,0.5033999999999992
2018-03-13,57.0766,56.9002,57.136,56.64,0.176400000000001,0.4960000000000022
2018-03-14,57.044,57.0767,57.31,56.672,-0.0327000000000055,0.6380000000000052
2018-03-15,57.4409,57.0421,57.5329,56.848,0.3988000000000014,0.684899999999999
2018-03-16,57.5206,57.4485,57.8112,57.376000000000005,0.07209999999999894,0.4351999999999947
2018-03-19,57.7346,57.4935,58.0354,57.4135,0.24110000000000298,0.6219000000000037
2018-03-20,57.5516,57.7345,57.895,57.4224,-0.1828999999999965,0.4725999999999999
2018-03-21,56.8536,57.5511,57.6417,56.833999999999996,-0.697499999999998,0.8077000000000041
2018-03-22,57.2867,56.8526,57.3003,56.7352,0.4341000000000008,0.565100000000001
2018-03-23,57.2334,57.2868,57.3723,56.9865,-0.05339999999999634,0.38580000000000325
2018-03-26,57.229,57.1978,57.515,56.825,0.03119999999999834,0.6899999999999977
2018-03-27,57.4226,57.2291,57.536,57.0331,0.19350000000000023,0.5029000000000039
2018-03-28,57.7677,57.4225,57.8867,57.2904,0.3451999999999984,0.5962999999999994
2018-03-29,57.2802,57.7678,57.8364,57.2476,-0.4876000000000005,0.5887999999999991
2018-03-30,57.1311,57.2801,57.4742,57.0348,-0.1489999999999938,0.43940000000000623
2018-04-02,57.4978,57.1467,57.6449,57.1254,0.3510999999999953,0.5195000000000007
2018-04-03,57.6153,57.4979,57.705,57.3279,0.1173999999999964,0.37709999999999866
2018-04-04,57.4329,57.6152,57.905,57.406000000000006,-0.182300000000005,0.4989999999999952
2018-04-05,57.6144,57.4346,57.775,57.4292,0.17980000000000018,0.345799999999997
2018-04-06,58.1549,57.6154,58.1706,57.5876,0.5394999999999968,0.5829999999999984
2018-04-09,60.6313,58.1042,60.665,58.0727,2.5271000000000043,2.5923000000000016
2018-04-10,63.0663,60.6314,63.92100000000001,60.2092,2.434899999999999,3.7118000000000038
2018-04-11,62.4159,63.0662,65.0359,62.05,-0.6503000000000014,2.985900000000001
2018-04-12,62.0055,62.416000000000004,63.1025,61.2803,-0.4105000000000061,1.8222000000000023
2018-04-13,62.0238,62.0054,62.3494,61.2084,0.01839999999999975,1.1410000000000053
2018-04-16,61.174,63.0067,63.0173,60.9924,-1.8327000000000027,2.0248999999999953
2018-04-17,61.5514,61.1742,62.044,60.8439,0.377200000000002,1.200099999999999
2018-04-18,60.8679,61.5517,61.9665,60.7545,-0.683799999999998,1.2120000000000033
2018-04-19,60.9851,60.8667,61.2015,60.582,0.11840000000000117,0.6195000000000022
2018-04-20,61.3868,60.9364,61.599,60.9001,0.4504000000000019,0.6988999999999947
2018-04-23,61.8608,61.2501,62.185,61.1922,0.6106999999999942,0.9928000000000026
2018-04-24,61.5458,61.8607,61.8666,61.3565,-0.3149000000000015,0.5101000000000013
2018-04-25,62.418,61.5457,62.4911,61.4997,0.8723000000000027,0.9914000000000058
2018-04-26,62.7379,62.4179,63.035,62.135,0.3200000000000003,0.8999999999999986
2018-04-27,62.1262,62.7356,62.8451,61.7177,-0.6094000000000008,1.1274000000000015
2018-04-30,62.9655,62.5645,63.1609,62.178000000000004,0.40099999999999625,0.9828999999999937
2018-05-01,63.625,62.9796,63.855,62.931000000000004,0.6454000000000022,0.9239999999999924
2018-05-02,63.856,63.7098,64.288,62.0595,0.14620000000000033,2.228499999999997
2018-05-03,63.001000000000005,63.9981,64.0256,62.8585,-0.9970999999999961,1.1670999999999978
2018-05-04,62.596000000000004,63.0022,63.477,62.336999999999996,-0.40619999999999834,1.1400000000000006
2018-05-05,62.596000000000004,62.596000000000004,62.596000000000004,62.596000000000004,0.0,0.0
2018-05-06,62.4995,62.4995,62.4995,62.4555,0.0,0.04399999999999693
2018-05-07,62.922,62.9575,63.0105,62.3495,-0.03550000000000608,0.6610000000000014
2018-05-08,63.2105,62.9199,63.672,62.7238,0.29060000000000485,0.9481999999999999
2018-05-09,63.0505,63.1742,64.1585,62.8945,-0.12369999999999948,1.264000000000003
2018-05-10,61.7363,63.0506,63.1297,61.5685,-1.314300000000003,1.5611999999999995
2018-05-11,61.8995,61.7364,62.0405,61.407,0.16310000000000002,0.6335000000000051
2018-05-12,61.8995,61.8995,61.8995,61.8995,0.0,0.0
2018-05-13,61.5195,61.9785,61.9785,61.5195,-0.4589999999999961,0.4589999999999961
2018-05-14,61.856,61.662,61.942,61.548,0.19400000000000261,0.39399999999999835
2018-05-15,62.2914,61.8529,62.77,61.7875,0.4385000000000048,0.9825000000000017
2018-05-16,61.7064,62.2915,62.635,61.6217,-0.5850999999999971,1.013300000000001
2018-05-17,62.163999999999994,61.7063,62.2177,61.6285,0.45769999999999555,0.5891999999999982
2018-05-18,62.2295,62.1599,62.6929,61.8295,0.06960000000000122,0.8633999999999986
2018-05-19,62.23,62.23,62.23,62.23,0.0,0.0
2018-05-20,62.4745,62.2795,62.4745,62.2795,0.19500000000000028,0.19500000000000028
2018-05-21,61.6285,62.3325,62.7149,61.516999999999996,-0.7040000000000006,1.1979000000000042
2018-05-22,61.238,61.5578,61.7395,60.9535,-0.31980000000000075,0.7860000000000014
2018-05-23,61.3197,61.233000000000004,61.82,61.2177,0.08669999999999334,0.6022999999999996
2018-05-24,61.5796,61.3198,62.5885,61.288000000000004,0.2597999999999985,1.3004999999999995
2018-05-25,62.2195,61.5795,62.341,61.522,0.6399999999999935,0.8190000000000026
2018-05-26,61.96,61.96,61.96,61.96,0.0,0.0
2018-05-27,62.2095,62.2505,62.2505,61.7545,-0.04100000000000392,0.4960000000000022
2018-05-28,62.3245,62.2005,62.493,62.0792,0.12400000000000233,0.41380000000000194
2018-05-29,62.8678,62.2891,62.933,62.17100000000001,0.5787000000000049,0.7619999999999933
2018-05-30,62.1685,62.8679,62.8965,62.001999999999995,-0.6993999999999971,0.8945000000000078
2018-05-31,62.3846,62.146,62.56100000000001,61.941,0.23859999999999815,0.6200000000000045
2018-06-01,62.295,62.3847,62.495,61.93600000000001,-0.08970000000000056,0.5589999999999904
2018-06-02,62.295,62.295,62.295,62.295,0.0,0.0
2018-06-03,62.479,62.2205,62.479,62.1915,0.25849999999999795,0.2875000000000014
2018-06-04,62.058,62.2165,62.2278,61.0355,-0.15850000000000364,1.192300000000003
2018-06-05,61.707,62.0576,62.448,60.431999999999995,-0.3506,2.0160000000000053
2018-06-06,61.802,61.9624,62.168,61.676,-0.16040000000000276,0.49199999999999733
2018-06-07,62.407,61.7938,62.653999999999996,61.5736,0.6131999999999991,1.0803999999999974
2018-06-08,62.5045,62.4111,62.943000000000005,62.231,0.09340000000000259,0.7120000000000033
2018-06-09,62.3995,62.505,62.505,62.3045,-0.10549999999999926,0.20050000000000523
2018-06-10,60.6695,62.353,62.353,60.6695,-1.6835000000000022,1.6835000000000022
2018-06-11,62.8015,62.335,62.9181,61.657,0.46649999999999636,1.261100000000006
2018-06-12,63.1025,62.8014,63.965,62.5973,0.30109999999999815,1.3677000000000064
2018-06-13,62.4994,63.102,63.803000000000004,62.0545,-0.6025999999999954,1.748500000000007
2018-06-14,62.5305,62.4995,62.6847,61.961999999999996,0.03100000000000591,0.7227000000000032
2018-06-15,63.162,62.5281,63.345,62.4245,0.633899999999997,0.920499999999997
2018-06-16,63.1625,63.1625,63.1625,63.1625,0.0,0.0
2018-06-17,64.068,63.1305,64.068,63.1305,0.9375,0.9375
2018-06-18,63.4072,63.1525,63.7922,62.8245,0.2546999999999997,0.9677000000000007
2018-06-19,63.861999999999995,63.4076,64.2134,63.379,0.4543999999999926,0.8343999999999951
