Date,Price
21-Oct-19,53.28
22-Oct-19,54.21
23-Oct-19,55.9
24-Oct-19,56.11
25-Oct-19,56.52
28-Oct-19,55.6
29-Oct-19,55.34
30-Oct-19,54.85
31-Oct-19,54.02
1-Nov-19,56.04
4-Nov-19,56.33
5-Nov-19,57.04
6-Nov-19,56.15
7-Nov-19,56.91
8-Nov-19,57.02
11-Nov-19,56.61
12-Nov-19,56.67
